0, 255, 255, 255
505,218,25,197
509,219,77,204
504,196,38,187
500,196,66,191
508,199,34,176
502,189,61,171
501,205,20,181
503,203,29,183
507,190,74,174
506,186,41,172
337,40,104,191
341,69,82,206
365,69,116,218
352,52,70,186
325,34,95,214
368,68,126,215
334,41,96,182
339,57,102,226
309,47,102,209
320,22,81,214
321,26,45,214
301,48,60,190
330,33,88,215
350,24,92,227
302,57,87,216
335,42,74,197
355,51,86,201
361,61,93,210
353,84,90,225
354,74,117,213
348,50,44,183
351,84,93,223
308,70,109,182
347,47,27,183
315,27,103,202
317,55,101,188
343,105,85,215
345,93,82,213
336,55,117,202
360,37,56,211
367,37,46,185
323,48,98,180
303,78,88,202
318,22,55,179
327,53,57,219
349,60,49,227
331,25,40,182
311,72,126,204
356,74,121,196
306,24,33,189
362,52,41,219
370,34,119,222
307,19,88,189
326,55,35,187
369,58,35,182
310,62,103,189
300,80,120,220
333,26,57,188
366,68,137,219
340,76,55,210
305,34,59,184
304,68,89,190
371,25,45,204
346,23,76,216
314,82,54,226
359,58,38,204
316,34,104,222
338,75,90,201
328,83,74,191
357,31,50,180
313,59,111,219
363,49,31,216
358,79,127,225
312,41,83,222
324,51,45,205
342,50,87,186
319,70,78,181
344,32,59,205
332,34,97,180
372,31,102,203
329,69,88,200
364,58,28,224
322,49,88,208
207,208,208,58
201,174,185,39
213,191,204,33
215,207,220,57
200,229,217,82
217,206,219,44
214,171,182,18
203,211,219,55
211,201,206,31
208,184,188,60
212,169,178,48
210,187,191,76
216,205,198,64
206,209,216,59
202,206,220,23
205,186,184,48
204,194,191,53
209,193,201,31
108,80,215,87
100,92,201,40
112,74,225,50
120,91,206,79
118,86,199,65
123,102,182,63
102,29,228,73
104,71,228,67
121,87,198,34
105,48,206,62
116,69,204,103
122,77,207,120
106,58,221,24
109,92,228,31
111,26,200,23
119,38,208,91
101,52,213,76
103,70,185,105
115,72,229,117
114,69,226,98
110,89,209,29
117,59,213,83
113,94,227,48
107,107,223,76
16,187,86,67
18,215,91,71
2,206,74,59
9,195,93,68
32,199,63,37
33,186,66,53
5,209,75,52
29,192,59,43
8,203,99,79
4,191,45,22
19,204,67,40
11,226,102,89
15,200,31,27
20,229,72,46
35,215,96,78
1,213,77,35
37,196,68,38
17,211,68,28
28,210,43,24
6,201,67,64
30,198,71,30
7,183,44,22
23,220,105,83
27,213,104,73
3,182,52,26
13,226,93,59
14,202,62,40
24,202,65,32
21,215,61,41
10,223,70,52
12,212,92,74
22,205,60,58
25,200,80,63
31,203,50,22
36,219,76,41
34,183,67,32
26,199,43,36
